Comment,Polarity_Class,Polarity
অসাধারণ নিশো বস্ আর অমি ভাইকেও,stronglyPositive,1.00
আমার দেখা বেস্ট নাটক,stronglyPositive,1.00
সত্যি অসাধারণ একটি রিলেশন,stronglyPositive,1.00
মজা পাইছি ভাষা গুলো কেমন লাগলো,weaklyPositive,0.60
খুব সুন্দর হয়েছে,stronglyPositive,1.00
অনেক হাসির একটা নাটক এবং রুমান্টিক,stronglyPositive,1.00
বিউটিফুল,weaklyPositive,0.59
ভাললোই লাগল,weaklyPositive,0.60
নাটক টা অনেক ভাল ছিল সত্যি কারের ভালবাসার প্রমাণ পেল,stronglyPositive,1.00
ভাইয়া তোমাদের আমার খুব ভালো লাগছে,stronglyPositive,1.00
ভালো ছিলো,weaklyPositive,0.60
গল্প টা খুব সুন্দর ছিল,stronglyPositive,1.00
অনেকদিন বাদে সুন্দর একটা নাটক দেখলাম,stronglyPositive,1.00
নাটক টা দেখলাম অসাধারন হইছে  নিশু ভাই ত আমার পছন্দের একটি অসাধারন মানুষ আর তিশা আমি তুমার চেহেরাটাই ভুলতে পারিনা জানিনা তুমি কার ভাগ্যে আছু আমার খুব পছন্দের একটি বাগানের গোলাপ নাম তার তানজিনা তিশা গোলাপের মতোই অপরুপ,stronglyPositive,1.00
শাহাব উদ্দিন শান্ত কুমিল্লা প্রবাসী এক কথায় অসাধারণ নাটক,stronglyPositive,1.00
শেষের গানটা খুব সুন্দর,stronglyPositive,1.00
টাংগাইল বাসীর গর্ব,stronglyPositive,1.00
ভালো  লাগছে অসাধারণ হয়েছে নিসো ভাই,stronglyPositive,1.00
অসাধারণ ভাইনিশো ভাই তোমার দ্বারাই এটা সম্ভব,stronglyPositive,1.00
ভালো লাগলো,weaklyPositive,0.60
খুব ভাল লাগলো,stronglyPositive,1.00
অসাধারণ অসাধারণ অপুরব,stronglyPositive,1.00
অসাধারণ অভিনয়  অসাধারণ নাটক  ভালো লাগার মতো একটি নাটক,stronglyPositive,1.00
অনেক সুন্দর লাগছে,stronglyPositive,1.00
এতো ভালো লাগলো বলে বোঝাতে পারবোনা বাট শুরুর দিকে অনেক হেসেছিতারপর কান্না,stronglyPositive,1.00
সত্যি অসাধারণ গল্পের অসাধারণ একটি নাটক শেষ দৃশ্যে কোনোভাবেই চোখের পানি আটকাতে পারিনি তবে নাটকের সংলাপে তুই তোকারি করাটা হয়ত মেনে নেয়া যায় কিন্তু  কুত্তার বাচ্চা বলে গালি দেয়া এবং গায়ে হাত তোলাটা কোনোভাবেই মেনে নেয়া যায় না,stronglyNegative,-0.99
